V,x,y
41,285,495
19,241,421
101,549,722
79,643,723
42,160,465
104,188,705
84,295,630
102,450,722
83,260,717
82,370,639
87,63,613
60,120,534
103,348,723
59,214,519
80,553,646
56,633,642
86,140,638
85,226,599
105,91,709
98,689,646
81,464,645
21,955,300
45,1035,298
58,137,224
37,45,215
71,1189,174
72,1100,196
10,669,460
28,627,550
7,898,581
8,768,630
23,1052,619
6,970,606
24,939,698
26,829,544
27,702,581
5,930,531
4,964,454
1,864,413
2,848,313
64,1174,378
29,590,409
15,337,219
32,391,135
43,901,275
61,846,246
77,674,128
78,595,114
89,1204,281
44,963,220
9,747,496
40,64,455
38,126,393
3,932,389
22,986,374
25,853,670
11,555,502
30,488,442
46,1086,403
35,140,54
36,60,133
63,1119,296
14,403,287
31,453,202
57,153,147
65,1110,506
12,516,347
50,1140,88
51,1015,176
74,941,145
13,435,373
47,1194,482
48,1137,593
62,887,193
73,1047,75
33,316,91
52,750,143
53,709,33
16,243,34
34,219,126
49,1049,707
17,109,294
18,47,371
54,283,188
76,207,221
93,981,41
66,1230,579
95,624,212
91,1293,498
67,1284,411
68,1367,377
69,1311,300
70,1281,219
75,788,72
55,616,30
94,883,77
90,1325,578
92,1368,466
97,547,192
