V,x,y
32,968,691
31,873,715
67,1054,646
33,991,564
37,1233,350
36,1255,434
65,914,626
34,1071,506
35,1189,506
91,1191,212
90,1131,290
38,1311,303
68,1137,602
69,1331,391
70,1316,217
92,1273,163
39,1250,257
87,1130,394
97,1213,123
12,39,238
2,80,319
41,234,251
13,124,243
3,136,375
62,941,138
81,860,143
14,181,303
29,442,30
30,530,41
80,897,205
58,979,203
20,594,458
8,648,404
15,247,333
27,295,202
55,277,107
82,860,74
64,774,41
7,496,417
4,200,407
84,778,186
85,806,254
71,319,571
44,272,681
17,345,499
5,299,389
1,73,165
18,435,456
19,507,490
11,428,114
23,631,338
24,589,279
16,268,468
26,447,198
51,360,246
60,636,68
6,362,426
9,570,202
25,497.0983366,246.10085
40,157,148
42,250,545
72,360,625
45,395,686
46,459,629
56,981.6821845,447.1272878
78,928,401
48,650,664
74,594,604
53,365,133
21,548,362
10,506,152
76,804,588
52,813,471
57,570,133
28,329,60
73,471,718
47,545,665
22,603,719
43,225.9069873,620.7369538
75,732,631
49,678,567
94,948.4731731,341.0565448
79,958,269
77,870,545
54,902,477
93,1018,379
50,746,526
83,782,110
66,710,132
96,807,325
