V,x,y
64,424,239
62,539,232
57,737,371
59,593,350
65,787,107
63,712,31
61,426,327
99,480,280
67,879,116
53,979,320
26,892,383
31,1083,40
71,1077,121
91,736,299
60,660,212
23,1229,175
51,1191.135773,235.9574692
55,867.4938017,320.242707
101,383,200
72,1164,51
94,614,268
25,1002,382
27,375,288
28,450,180
90,986,246
88,1100.980825,267.5204621
102,898,31
103,979,128
21,1279.813722,233.4515414
54,1062,204
68,995,39
92,718,232
56,906,231
58,831,199
96,510,372
93,548,300
97,575,173
95,752,165
98,705,110
100,808,27
105,1166,123
82,363,134
84,374,51
48,472,118
85,464,43
50,559,76
29,276,254
66,280,168
30,276,80
69,224,308
70,238,202
52,1355,208
89,1359,110
22,1301,319
24,1376,295
87,1276,129
7,464,419
4,338,471
77,1000,694
78,1086,649
15,493,563
9,317,532
75,774,643
41,914,717
36,331,669
46,1207,462
20,1237,414
44,1159,614
14,536,462
35,589,520
74,683,612
76,855,651
42,922,616
80,1147,506
1,1055,405
5,966,420
8,411,499
6,557,396
37,471,726
73,354,726
2,1134,380
38,571,641
40,814,728
32,820,370
33,742,430
45,1232,571
13,652,421
17,472,637
16,380,588
79,1074,552
3,388,409
34,672,488
18,587,746
12,866,429
10,563,580
39,670,680
19,693,750
11,1264,362
43,998,579
81,1279,500
83,1296,437
47,1368,447
