V,x,y
61,1177,425
59,1299,420
64,1113,480
101,1207,527
99,1263,485
68,958,641
28,997,580
55,1168,162
91,1258,187
67,1063,634
65,1050,527
56,1180,229
102,1159,577
93,1260,253
95,1219,306
97,1199,365
103,987,504
104,1018,700
48,565,627
50,671,685
84,585,725
23,813,640
54,823,553
52,731,610
85,641,593
58,875,297
24,936,234
57,875,405
60,997,293
82,506.3671032,720.7316608
89,733,507
92,801,447
96,951,382
98,1051,371
94,797,355
63,1097,304
66,1017,103
25,966,46
46,582,539
20,573,475
6,400,61
13,484,88
33,319,301
16,251,267
19,233,513
37,244,584
7,336,112
4,203,148
39,317,492
8,286,183
83,627,199
47,670,269
40,324,648
76,407,690
14,408,150
75,389,517
42,384,433
1,818.4981922,32.64309604
5,730.2779625,27
73,320,584
2,892.6772702,41.71230706
43,491,649
45,517,580
77,459,451
74,289,729
35,217,439
69,311,386
9,165,219
70,101,567
36,146,494
81,583,273
15,367,218
51,867,176
87,920,121
32,480,189
31,551,146
72,192,699
3,249,81
41,400,625
78,455,578
17,150,323
18,121,406
11,630,455
12,636.3525008,45.17666541
38,250,640
30,574,76
21,791,135
29,669,105
10,130,192
34,236,358
49,728,198
22,799,233
79,453,369
86,839,91
71,165,604
44,504,303
80,543,363
