V,x,y
66,504,272
82,605,295
86,721,331
65,578,209
81,681,238
85,791,269
3,418,212
4,397,282
33,1192,632
16,1072,702
1,424,67
19,339,117
20,325,217
40,204,367
55,128,259
37,260,107
38,240,190
8,554,513
25,464,546
53,173,99
9,593,578
26,501,607
69,1151,267
88,1083,225
10,577,654
27,662,641
22,303,392
23,364,449
68,988,314
67,1012,128
49,1212,476
34,1273,557
76,38,336
77,35,415.4219061
7,424,491
41,331,531
61,364,601
74,112,97
2,452,147
36,284,43
21,312.51018,309.2035096
39,221,287
5,397,349
6,454,389
14,1001,667
70,1164,352
90,1291,298
24,513,442
31,1008,581
28,763,555
12,845,539
54,152,185
18,1166,694
15,1103,561
32,1098,638
89,1071,355
17,1161,526
58,78.35469157,485.0418461
50,1291,628
11,737,649
91,1372,330
71,1247,381
75,41,262
80,341,708
78,216,623
13,1013,505
29,832,634
72,1340,409
30,921,587
48,849,708
62,238,731
35,1280,713
56,118.8873725,343.8846874
51,1330,505
43,671,573
47,906,507
59,268,469
52,179,30
57,136,425
79,191,693
46,956,56
60,238,560
63,643,512
73,46,57
87,945,238
83,912,135
64,100,732
