V,x,y
12,39,237
2,106,142
25,981,98
45,1052,142
14,181,229
3,179,136
1,34,151
41,809,276
21,772,157
18,513,114
19,590,69
46,877,546
67,926,387
13,115,224
65,879,349
77,758,415
64,787,349
40,732,238
53,1049.00013,550.2630313
51,968,547
15,265,234
23,955,176
9,1093,167
33,114,310
38,612,150
4,265,134
16,336,143
5,439,58
57,1320,436
56,1319,533
26,1103,489
6,521,30
36,462,205
28,1220,579
27,1171,522
17,436,130
22,874,173
11,1111,208
24,1051,223
74,1408,492
7,719,55
20,685,115
66,850,453
31,1252,437
10,929,92
8,867,104
48,1057,286
58,361,306
59,435,297
75,1295,263
73,1269,350
62,673,178
39,670,287
61,612,246
71,1382,568
70,1202,314
44,977,233
79,1218,235
29,1287,630
32,36,312
34,295,309
35,366,217
50,1058,52
30,1245,519
60,541,280
37,539,193
43,896,238
55,1103,602
52,1090,373
47,990,399
69,1081.385945,445.984727
54,1159,377
42,823,226
63,720,324
68,959,482
76,1377,390
72,1136,291
80,1412,308
