DAP,Gen,Loc,PlantID,Date,GrowthRate,Temperature,Solar.Rad,Humidity,Rainfall
1,A,K,1 # 2 # 4 # 5 # 6,5/4/16,0.03501462,67,22.28,52.82,0
2,A,K,1 # 2 # 4 # 5 # 6,5/5/16,0.03804111,77,22.32,60.94,0
3,A,K,1 # 2 # 4 # 5 # 6,5/6/16,0.041329194,83,26.1,81.27,0
4,A,K,1 # 2 # 4 # 5 # 6,5/7/16,0.044901484,85,23.08,65.71,0
5,A,K,1 # 2 # 4 # 5 # 6,5/8/16,0.048782544,85,22.64,62.41,0
6,A,K,1 # 2 # 4 # 5 # 6,5/9/16,0.052999065,81,20.3,47.66,0
7,A,K,1 # 2 # 4 # 5 # 6,5/10/16,0.05758004,76,21.31,47.93,0
8,A,K,1 # 2 # 4 # 5 # 6,5/11/16,0.062556972,87,22.32,49.38,0
9,A,K,1 # 2 # 4 # 5 # 6,5/12/16,0.067964085,72,23.33,67.23,0
10,A,K,1 # 2 # 4 # 5 # 6,5/13/16,0.073838562,75,25.09,83.94,0
11,A,K,1 # 2 # 4 # 5 # 6,5/14/16,0.0802208,81,20.38,64.41,0
12,A,K,1 # 2 # 4 # 5 # 6,5/15/16,0.087154687,57,19.15,52.71,0
13,A,K,1 # 2 # 4 # 5 # 6,5/16/16,0.094687904,61,21.85,52.64,0
14,A,K,1 # 2 # 4 # 5 # 6,5/17/16,0.102872255,57,22.79,66.06,0
15,A,K,1 # 2 # 4 # 5 # 6,5/18/16,0.111764021,58,22.18,65.08,0
16,A,K,1 # 2 # 4 # 5 # 6,5/19/16,0.121424346,65,21.64,56,0
17,A,K,1 # 2 # 4 # 5 # 6,5/20/16,0.131919662,64,24.88,83.16,0
18,A,K,1 # 2 # 4 # 5 # 6,5/21/16,0.143322141,72,23.8,64.87,0
19,A,K,1 # 2 # 4 # 5 # 6,5/22/16,0.155710194,85,23.4,71.21,0
20,A,K,1 # 2 # 4 # 5 # 6,5/23/16,0.169169008,87,19.22,52.67,0
21,A,K,1 # 2 # 4 # 5 # 6,5/24/16,0.183791134,84,22.64,56.57,0
22,A,K,1 # 2 # 4 # 5 # 6,5/25/16,0.199677125,93,24.52,74.88,0
23,A,K,1 # 2 # 4 # 5 # 6,5/26/16,0.216936222,93,24.08,76.57,0
24,A,K,1 # 2 # 4 # 5 # 6,5/27/16,0.235687109,88,24.08,69.32,0
25,A,K,1 # 2 # 4 # 5 # 6,5/28/16,0.256058729,77,23.72,67.65,0
26,A,K,1 # 2 # 4 # 5 # 6,5/29/16,0.278191171,81,22.64,62.15,0
27,A,K,1 # 2 # 4 # 5 # 6,5/30/16,0.302236631,86,25.45,72.08,0
28,A,K,1 # 2 # 4 # 5 # 6,5/31/16,0.328360461,87,26.68,78.11,0
29,A,K,1 # 2 # 4 # 5 # 6,6/1/16,0.356742304,75,26.24,82.57,0
30,A,K,1 # 2 # 4 # 5 # 6,6/2/16,0.387577333,75,21.85,61.87,0
31,A,K,1 # 2 # 4 # 5 # 6,6/3/16,0.421077588,83,21.74,59.91,0
32,A,K,1 # 2 # 4 # 5 # 6,6/4/16,0.457473439,90,22.18,60.32,0
33,A,K,1 # 2 # 4 # 5 # 6,6/5/16,0.497015165,83,23.22,58.08,0
34,A,K,1 # 2 # 4 # 5 # 6,6/6/16,0.539974682,87,23.98,64.29,0
35,A,K,1 # 2 # 4 # 5 # 6,6/7/16,0.586647405,92,23.11,66.93,0
36,A,K,1 # 2 # 4 # 5 # 6,6/8/16,0.637354286,91,25.74,71.17,0
37,A,K,1 # 2 # 4 # 5 # 6,6/9/16,0.692444018,97,25.42,71.63,0.004791667
38,A,K,1 # 2 # 4 # 5 # 6,6/10/16,0.752295431,96,23.8,69.71,0
39,A,K,1 # 2 # 4 # 5 # 6,6/11/16,0.817320103,95,24.23,64.81,0
40,A,K,1 # 2 # 4 # 5 # 6,6/12/16,0.887965183,96,23.22,58.3,0
41,A,K,1 # 2 # 4 # 5 # 6,6/13/16,0.96471647,93,22.68,56.86,0.042083333
42,A,K,1 # 2 # 4 # 5 # 6,6/14/16,1.048101755,85,24.19,70.81,0
43,A,K,1 # 2 # 4 # 5 # 6,6/15/16,1.138694444,90,19.48,55.14,0
44,A,K,1 # 2 # 4 # 5 # 6,6/16/16,1.237117502,98,21.17,43.67,0
45,A,K,1 # 2 # 4 # 5 # 6,6/17/16,1.344047736,97,24.98,54.76,0
46,A,K,1 # 2 # 4 # 5 # 6,6/18/16,1.460220434,97,28.76,73.05,0
47,A,K,1 # 2 # 4 # 5 # 6,6/19/16,1.586434407,90,26.35,63.78,0
48,A,K,1 # 2 # 4 # 5 # 6,6/20/16,1.723557438,95,27.58,77.98,0
49,A,K,1 # 2 # 4 # 5 # 6,6/21/16,1.872532156,97,24.48,66.61,0
50,A,K,1 # 2 # 4 # 5 # 6,6/22/16,2.034382322,100,26.71,75.09,0
51,A,K,1 # 2 # 4 # 5 # 6,6/23/16,2.210219426,99,28.08,77.35,0
52,A,K,1 # 2 # 4 # 5 # 6,6/24/16,2.401249383,92,27.94,84.96,0.015
53,A,K,1 # 2 # 4 # 5 # 6,6/25/16,2.608778747,96,27.83,78.4,0.005833333
54,A,K,1 # 2 # 4 # 5 # 6,6/26/16,2.834219178,100,23.87,65.5,0.007083333
55,A,K,1 # 2 # 4 # 5 # 6,6/27/16,3.079087298,87,21.85,58.55,0.014791667
56,A,K,1 # 2 # 4 # 5 # 6,6/28/16,3.344993663,93,22.25,54.75,0
57,A,K,1 # 2 # 4 # 5 # 6,6/29/16,3.633607129,93,25.74,62.45,0.026041667
58,A,K,1 # 2 # 4 # 5 # 6,6/30/16,3.946564686,89,26.5,64.86,0.001428571
59,A,K,1 # 2 # 4 # 5 # 6,7/1/16,4.285261958,90,23.76,60.19,0.014166667
