"","V1","V2"
"1",1018,700
"2",1260,253
"3",1263,485
"4",987,504
"5",1159,577
"6",1180,229
"7",1207,527
"8",1168,162
"9",958,641
"10",1258,187
"11",1199,365
"12",997,580
"13",1219,306
"14",1063,634
"15",1050,527
"16",1113,480
"17",1177,425
"18",1299,420
"19",1051,371
"20",731,610
"21",951,382
"22",671,685
"23",641,593
"24",1097,304
"25",797,355
"26",565,627
"27",733,507
"28",801,447
"29",813,640
"30",585,725
"31",506.367103184913,720.731660803311
"32",997,293
"33",875,297
"34",875,405
"35",823,553
"36",936,234
"37",1017,103
"38",966,46
"39",920,121
"40",324,648
"41",407,690
"42",669,105
"43",839,91
"44",317,492
"45",389,517
"46",583,273
"47",236,358
"48",627,199
"49",146,494
"50",543,363
"51",319,301
"52",453,369
"53",480,189
"54",455,578
"55",551,146
"56",459,451
"57",574,76
"58",289,729
"59",867,176
"60",320,584
"61",192,699
"62",728,198
"63",165,604
"64",101,567
"65",670,269
"66",311,386
"67",799,233
"68",582,539
"69",517,580
"70",504,303
"71",491,649
"72",384,433
"73",400,625
"74",250,640
"75",244,584
"76",217,439
"77",791,135
"78",573,475
"79",233,513
"80",121,406
"81",150,323
"82",251,267
"83",367,218
"84",408,150
"85",484,88
"86",636.352500837207,45.1766654067405
"87",630,455
"88",130,192
"89",165,219
"90",286,183
"91",336,112
"92",730.277962459989,27
"93",203,148
"94",249,81
"95",892.677270205075,41.7123070603635
"96",818.498192228105,32.6430960385972
"97",400,61
