"","V1","V2"
"1",91,709
"2",370,639
"3",214,519
"4",260,717
"5",120,534
"6",188,705
"7",464,645
"8",348,723
"9",553,646
"10",450,722
"11",643,723
"12",633,642
"13",549,722
"14",689,646
"15",63,613
"16",285,495
"17",140,638
"18",226,599
"19",295,630
"20",160,465
"21",241,421
"22",547,192
"23",1140,88
"24",941,145
"25",1368,466
"26",1035,298
"27",1311,300
"28",624,212
"29",1137,593
"30",1100,196
"31",883,77
"32",1194,482
"33",1189,174
"34",981,41
"35",1086,403
"36",1281,219
"37",1293,498
"38",963,220
"39",1367,377
"40",1325,578
"41",901,275
"42",1284,411
"43",1204,281
"44",1230,579
"45",595,114
"46",674,128
"47",207,221
"48",788,72
"49",1047,75
"50",1110,506
"51",1174,378
"52",1119,296
"53",887,193
"54",846,246
"55",137,224
"56",153,147
"57",616,30
"58",283,188
"59",709,33
"60",750,143
"61",1015,176
"62",1049,707
"63",64,455
"64",126,393
"65",45,215
"66",60,133
"67",140,54
"68",219,126
"69",316,91
"70",391,135
"71",453,202
"72",488,442
"73",590,409
"74",627,550
"75",702,581
"76",829,544
"77",853,670
"78",939,698
"79",1052,619
"80",986,374
"81",955,300
"82",47,371
"83",109,294
"84",243,34
"85",337,219
"86",403,287
"87",435,373
"88",516,347
"89",555,502
"90",669,460
"91",747,496
"92",768,630
"93",898,581
"94",970,606
"95",930,531
"96",964,454
"97",932,389
"98",848,313
"99",864,413
