"","V1","V2"
"1",1213,123
"2",1316,217
"3",1130,394
"4",914,626
"5",1331,391
"6",1273,163
"7",1137,602
"8",1191,212
"9",1054,646
"10",1131,290
"11",1250,257
"12",1311,303
"13",1233,350
"14",1255,434
"15",1189,506
"16",1071,506
"17",991,564
"18",968,691
"19",873,715
"20",948.473173137165,341.056544824809
"21",545,665
"22",319,571
"23",782,110
"24",636,68
"25",778,186
"26",1018,379
"27",459,629
"28",860,74
"29",806,254
"30",941,138
"31",807,325
"32",678,567
"33",471,718
"34",447,198
"35",860,143
"36",979,203
"37",897,205
"38",958,269
"39",928,401
"40",870,545
"41",530,41
"42",804,588
"43",442,30
"44",732,631
"45",329,60
"46",594,604
"47",295,202
"48",360,625
"49",497.098336624911,246.100849996292
"50",710,132
"51",774,41
"52",570,133
"53",981.682184463743,447.127287766129
"54",277,107
"55",902,477
"56",365,133
"57",813,471
"58",360,246
"59",746,526
"60",650,664
"61",395,686
"62",272,681
"63",225.906987264886,620.736953768809
"64",250,545
"65",234,251
"66",157,148
"67",589,279
"68",631,338
"69",603,719
"70",548,362
"71",594,458
"72",507,490
"73",435,456
"74",345,499
"75",268,468
"76",247,333
"77",181,303
"78",124,243
"79",39,238
"80",506,152
"81",570,202
"82",648,404
"83",496,417
"84",362,426
"85",299,389
"86",200,407
"87",136,375
"88",80,319
"89",73,165
"90",428,114
