"","V1","V2"
"1",1272,32
"2",1223,34
"3",1410,261
"4",695,100
"5",1064,140
"6",1324,73
"7",1405,138
"8",650,155
"9",932,68
"10",1332,204
"11",1406,194
"12",592,155
"13",1328,139
"14",1218,199
"15",1177,142
"16",1123,141
"17",973,126
"18",1005,190
"19",830,66
"20",886,127
"21",833,185
"22",755,40
"23",756,101
"24",755,155
"25",697,39
"26",521,30
"27",129,93
"28",472,166
"29",472,31
"30",424,167
"31",382,35
"32",287,184
"33",320,82
"34",235,184
"35",236,88
"36",181,34
"37",74,92
"38",25,92
"39",132,183
