V,x,y
3,137,231
2,80,231
13,708,235
12,657,235
47,1520,25
49,1598,66
4,192,231
7,373,233
6,309,233
5,247,233
23,954,233
20,886,233
27,1008,122
24,947,130
14,703,167
16,756,140
10,546,237
11,602,235
57,1759,59
52,1664,59
9,490,235
8,433,235
33,1238,231
29,1079,231
21,883,143
31,1066,35
28,1008,48
48,1600,226
45,1535,224
15,755,233
1,28,231
25,945,62
22,882,83
34,1182,92
30,1072,111
18,819,165
19,817,109
26,1016,231
17,819,233
42,1455,224
43,1451,114
41,1382,154
32,1232,124
38,1315,108
37,1123,25
46,1528,114
39,1318,231
50,1705,226
61,1973,226
58,1904,226
44,1445,55
62,2036,224
53,1800,226
54,1852,182
