DAP,Gen,Loc,PlantID,Date,GrowthRate,Temperature,Solar.Rad,Humidity,Rainfall
1,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/4/16,0.120886836,67,22.28,52.82,0
2,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/5/16,0.129722082,77,22.32,60.94,0
3,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/6/16,0.139203068,83,26.1,81.27,0
4,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/7/16,0.149376991,85,23.08,65.71,0
5,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/8/16,0.160294495,85,22.64,62.41,0
6,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/9/16,0.172009925,81,20.3,47.66,0
7,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/10/16,0.184581599,76,21.31,47.93,0
8,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/11/16,0.198072099,87,22.32,49.38,0
9,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/12/16,0.212548578,72,23.33,67.23,0
10,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/13/16,0.228083097,75,25.09,83.94,0
11,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/14/16,0.244752987,81,20.38,64.41,0
12,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/15/16,0.262641228,57,19.15,52.71,0
13,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/16/16,0.281836865,61,21.85,52.64,0
14,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/17/16,0.302435452,57,22.79,66.06,0
15,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/18/16,0.324539526,58,22.18,65.08,0
16,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/19/16,0.348259119,65,21.64,56,0
17,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/20/16,0.373712303,64,24.88,83.16,0
18,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/21/16,0.401025782,72,23.8,64.87,0
19,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/22/16,0.430335519,85,23.4,71.21,0
20,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/23/16,0.461787415,87,19.22,52.67,0
21,B,Kansas,1 # 2 # 3 # 4 # 5 # 6,5/24/16,0.495538032,84,22.64,56.57,0
